Nationality,Overall,Potential
Brazil,85.33857142857143,86.90857142857143
Germany,84.94714285714284,86.01285714285713
England,84.53428571428572,87.32428571428571
Portugal,84.34,85.29857142857142
France,84.23142857142857,86.53285714285714
Spain,83.85857142857142,85.62285714285714
Argentina,83.50714285714285,85.23
Belgium,83.20714285714287,83.83285714285714
Netherlands,83.0257142857143,85.20857142857143
Croatia,81.32428571428571,83.22
Uruguay,80.80571428571429,82.94857142857143
Denmark,79.22,81.61
Serbia,79.21857142857142,81.07857142857142
Mexico,78.83142857142856,80.26
Morocco,78.73857142857143,81.0
Poland,78.50714285714287,80.96000000000001
Senegal,78.44142857142857,80.88285714285713
Switzerland,78.28428571428572,79.80714285714285
Ghana,76.62428571428572,79.46714285714286
Cameroon,76.5442857142857,78.41428571428573
United States,76.45714285714287,80.94857142857144
Japan,75.39142857142858,77.63571428571429
Wales,75.29714285714286,77.22142857142856
Korea Republic,74.79285714285716,75.75285714285714
Canada,74.01142857142858,76.79142857142857
Ecuador,73.40285714285714,77.77714285714286
Australia,72.40285714285714,73.45428571428572
Costa Rica,71.47857142857143,73.5442857142857
Iran,70.82857142857144,71.75
Tunisia,70.33857142857143,73.61
Qatar,70.13000000000001,71.75285714285714
Saudi Arabia,70.02428571428571,71.43999999999998
